Pair,Probability,Code
н ,1910/770604,101001111
им,1897/770604,10101000
"е,",1850/770604,101010010
"о,",1846/770604,101010011
вы,1842/770604,101010100
"и,",1759/770604,101010101
тр,1726/770604,101010110
ис,1724/770604,101010111
ыл,1719/770604,10101100
тв,1692/770604,101011010
ку,1680/770604,101011011
 —,1665/770604,101011100
со,1651/770604,101011101
ну,1642/770604,101011110
с ,1636/770604,101011111
бе,1616/770604,101100000
ши,1614/770604,101100001
 л,1594/770604,101100010
"
—",1551/770604,101100011
— ,1550/770604,101100100
".
",1540/770604,101100101
му,1539/770604,101100110
ма,1531/770604,101100111
"а,",1527/770604,101101000
хо,1522/770604,101101001
ей,1520/770604,101101010
"ь,",1510/770604,101101011
 ж,1508/770604,101101100
ое,1486/770604,101101101
ар,1475/770604,101101110
ше,1471/770604,101101111
уд,1466/770604,101110000
ие,1445/770604,101110001
из,1438/770604,101110010
ю ,1437/770604,101110011
бо,1426/770604,101110100
ок,1424/770604,101110101
ди,1413/770604,101110110
ду,1406/770604,101110111
ив,1384/770604,101111000
уж,1372/770604,101111001
ча,1364/770604,101111010
ож,1362/770604,101111011
ев,1362/770604,101111100
пе,1361/770604,101111101
оч,1360/770604,101111110
их,1293/770604,1011111110
дн,1265/770604,1011111111
нь,1241/770604,110000000
ая,1219/770604,110000001
зн,1207/770604,110000010
са,1203/770604,1100000110
ят,1188/770604,1100000111
ут,1183/770604,110000100
 х,1159/770604,110000101
: ,1149/770604,110000110
оз,1132/770604,1100001110
 э,1119/770604,1100001111
"м,",1103/770604,110001000
бу,1092/770604,1100010010
бр,1082/770604,1100010011
др,1076/770604,110001010
еб,1070/770604,1100010110
"я,",1065/770604,1100010111
ый,1054/770604,110001100
ты,1048/770604,1100011010
ад,1040/770604,1100011011
жи,1034/770604,110001110
ту,1032/770604,1100011110
кр,1015/770604,1100011111
ек,1010/770604,110010000
эт,1010/770604,1100100010
си,1004/770604,1100100011
тн,993/770604,110010010
"у,",993/770604,1100100110
аж,989/770604,1100100111
вш,981/770604,110010100
ля,981/770604,1100101010
ьк,980/770604,1100101011
лу,969/770604,110010110
сп,968/770604,1100101110
ры,958/770604,1100101111
лс,948/770604,110011000
уг,938/770604,1100110010
", ",930/770604,1100110011
ще,928/770604,110011010
оп,927/770604,1100110110
 П,920/770604,1100110111
ае,905/770604,110011100
ум,902/770604,1100111010
ые,898/770604,1100111011
мн,893/770604,1100111100
ия,890/770604,1100111101
св,874/770604,1100111110
ус,872/770604,1100111111
ид,871/770604,110100000
ым,867/770604,1101000010
 а,862/770604,1101000011
ба,860/770604,1101000100
ьс,842/770604,1101000101
тс,834/770604,1101000110
ий,833/770604,1101000111
вн,825/770604,1101001000
"й,",825/770604,1101001001
гл,814/770604,1101001010
ьн,813/770604,1101001011
ез,813/770604,1101001100
 Ч,813/770604,1101001101
з ,808/770604,1101001110
; ,803/770604,1101001111
Чи,798/770604,1101010000
"т,",793/770604,1101010001
 я,786/770604,1101010010
ня,782/770604,1101010011
 В,761/770604,1101010100
пи,760/770604,1101010101
ош,759/770604,1101010110
ее,754/770604,1101010111
ую,750/770604,1101011000
 Н,749/770604,1101011001
ых,732/770604,1101011010
па,714/770604,1101011011
ря,714/770604,1101011100
еч,707/770604,1101011101
зв,705/770604,1101011110
! ,703/770604,1101011111
жн,702/770604,1101100000
еп,701/770604,1101100001
уч,691/770604,1101100010
ул,687/770604,1101100011
дь,686/770604,1101100100
уп,681/770604,1101100101
гд,678/770604,1101100110
ах,668/770604,11011001110
зд,665/770604,11011001111
уш,662/770604,1101101000
лю,642/770604,1101101001
ша,640/770604,1101101010
жа,632/770604,1101101011
иц,620/770604,1101101100
ук,618/770604,1101101101
ыв,616/770604,1101101110
ап,609/770604,11011011110
дв,607/770604,11011011111
аш,604/770604,1101110000
ач,601/770604,1101110001
"ы,",596/770604,1101110010
а.,595/770604,11011100110
ье,593/770604,11011100111
ещ,583/770604,1101110100
еш,580/770604,1101110101
иб,579/770604,1101110110
 —,575/770604,11011101110
су,575/770604,11011101111
шк,572/770604,1101111000
д ,569/770604,1101111001
рт,569/770604,1101111010
гу,567/770604,11011110110
га,564/770604,11011110111
чн,564/770604,1101111100
мы,562/770604,11011111010
сн,561/770604,11011111011
аю,558/770604,1101111110
бл,558/770604,11011111110
-т,556/770604,11011111111
"в,",545/770604,1110000000
е.,535/770604,1110000001
еж,534/770604,1110000010
ою,532/770604,11100000110
уб,531/770604,11100000111
щи,527/770604,1110000100
ех,526/770604,11100001010
 «,522/770604,11100001011
рн,517/770604,1110000110
"л,",515/770604,11100001110
"к,",510/770604,11100001111
ои,509/770604,1110001000
о.,508/770604,11100010010
це,506/770604,11100010011
ян,502/770604,1110001010
ке,502/770604,11100010110
и.,498/770604,11100010111
жд,497/770604,1110001100
 С,496/770604,11100011010
сс,492/770604,11100011011
ги,492/770604,1110001110
ур,490/770604,11100011110
гр,490/770604,11100011111
ай,485/770604,1110010000
ха,482/770604,11100100010
ув,479/770604,11100100011
см,477/770604,1110010010
чу,475/770604,11100100110
По,475/770604,11100100111
ца,470/770604,1110010100
ву,464/770604,11100101010
 К,463/770604,11100101011
аг,461/770604,11100101100
аб,456/770604,11100101101
ыс,454/770604,11100101110
 И,449/770604,11100101111
 ш,448/770604,1110011000
пу,447/770604,11100110010
"ю,",445/770604,11100110011
"х,",442/770604,11100110100
ыт,442/770604,11100110101
вр,438/770604,11100110110
би,429/770604,11100110111
зя,427/770604,1110011100
ья,422/770604,11100111010
зо,422/770604,11100111011
пл,421/770604,11100111100
кн,418/770604,11100111101
ь.,413/770604,11100111110
ир,410/770604,11100111111
лы,408/770604,11101000000
? ,408/770604,11101000001
рь,407/770604,11101000010
дл,403/770604,11101000011
шь,401/770604,11101000100
вл,401/770604,11101000101
г ,394/770604,11101000110
дс,394/770604,11101000111
иг,389/770604,11101001000
ец,387/770604,11101001001
ял,386/770604,11101001010
тк,385/770604,11101001011
ж ,384/770604,11101001100
кл,384/770604,11101001101
"н,",378/770604,11101001110
оя,377/770604,11101001111
. ,368/770604,11101010000
ух,362/770604,11101010001
бя,359/770604,11101010010
Но,358/770604,11101010011
иш,355/770604,11101010100
 М,354/770604,11101010101
 О,354/770604,11101010110
йс,351/770604,11101010111
тя,350/770604,11101011000
ох,349/770604,11101011001
я.,348/770604,11101011010
у.,342/770604,11101011011
яд,341/770604,11101011100
Да,338/770604,11101011101
 Т,338/770604,11101011110
ды,335/770604,111010111110
-н,333/770604,111010111111
 А,323/770604,11101100000
мя,321/770604,11101100001
ям,317/770604,11101100010
ыш,313/770604,111011000110
кт,312/770604,111011000111
о-,311/770604,11101100100
м.,309/770604,11101100101
як,305/770604,11101100110
чк,303/770604,111011001110
лк,302/770604,111011001111
Не,302/770604,11101101000
р ,297/770604,11101101001
 ф,296/770604,11101101010
зе,294/770604,111011010110
вз,292/770604,111011010111
в.,290/770604,11101101100
рш,288/770604,11101101101
ии,287/770604,11101101110
нс,286/770604,111011011110
ьш,285/770604,111011011111
шл,285/770604,11101110000
яс,284/770604,11101110001
 Д,279/770604,11101110010
А ,272/770604,111011100110
нк,269/770604,111011100111
» ,266/770604,11101110100
ют,265/770604,111011101010
ге,264/770604,111011101011
зы,263/770604,11101110110
Ко,263/770604,111011101110
! ,262/770604,111011101111
"?
",260/770604,11101111000
ыр,257/770604,111011110010
уз,255/770604,111011110011
нт,253/770604,11101111010
 Н,251/770604,111011110110
дя,242/770604,111011110111
ща,239/770604,11101111100
Пр,238/770604,111011111010
шо,234/770604,111011111011
Ка,232/770604,11101111110
В ,230/770604,111011111110
й.,227/770604,111011111111
юд,226/770604,11110000000
ц ,226/770604,111100000010
Он,225/770604,111100000011
бн,224/770604,111100000100
ьм,222/770604,111100000101
е-,220/770604,111100000110
вд,220/770604,111100000111
!»,220/770604,11110000100
ью,219/770604,111100001010
зу,219/770604,111100001011
йн,218/770604,111100001100
рд,218/770604,111100001101
зи,215/770604,111100001110
сд,212/770604,111100001111
… ,211/770604,11110001000
фа,210/770604,111100010010
пя,210/770604,111100010011
ющ,209/770604,111100010100
На,209/770604,111100010101
 Д,209/770604,111100010110
вк,208/770604,111100010111
лж,205/770604,111100011000
йк,204/770604,111100011001
 ц,202/770604,111100011010
рк,201/770604,111100011011
юб,200/770604,111100011100
яв,199/770604,111100011101
рс,197/770604,111100011110
Ив,197/770604,111100011111
шн,196/770604,111100100000
сы,196/770604,111100100001
иж,195/770604,111100100010
Ну,193/770604,111100100011
рв,191/770604,111100100100
гн,191/770604,111100100101
ык,191/770604,111100100110
вя,190/770604,111100100111
яз,190/770604,111100101000
уе,190/770604,111100101001
Во,190/770604,111100101010
Пе,189/770604,111100101011
ию,189/770604,111100101100
дк,187/770604,111100101101
».,186/770604,111100101110
сч,186/770604,111100101111
дц,184/770604,111100110000
зг,183/770604,111100110001
т.,181/770604,111100110010
йт,177/770604,111100110011
нц,176/770604,111100110100
шу,174/770604,111100110101
И ,173/770604,111100110110
ип,172/770604,111100110111
хл,172/770604,111100111000
ео,172/770604,111100111001
"!
",172/770604,111100111010
ащ,171/770604,111100111011
ы.,168/770604,111100111100
сх,168/770604,111100111101
а!,167/770604,111100111110
рж,165/770604,1111001111110
нд,165/770604,1111001111111
ущ,165/770604,111101000000
ях,162/770604,111101000001
чь,160/770604,1111010000100
 П,160/770604,1111010000101
Я ,160/770604,111101000011
 А,159/770604,111101000100
б ,158/770604,111101000101
й-,158/770604,111101000110
ю.,157/770604,1111010001110
л.,157/770604,1111010001111
"р,",154/770604,111101001000
е:,154/770604,111101001001
 З,154/770604,111101001010
х.,152/770604,1111010010110
хв,152/770604,1111010010111
зб,151/770604,111101001100
ищ,150/770604,111101001101
Со,149/770604,111101001110
цы,148/770604,1111010011110
яч,148/770604,1111010011111
ч ,148/770604,111101010000
ею,147/770604,111101010001
жу,147/770604,111101010010
? ,147/770604,1111010100110
пы,146/770604,1111010100111
вь,146/770604,111101010100
лн,144/770604,111101010101
Ма,143/770604,111101010110
ьз,142/770604,1111010101110
"ч,",142/770604,1111010101111
оо,140/770604,111101011000
 Г,139/770604,111101011001
Эт,138/770604,111101011010
тл,138/770604,1111010110110
ып,138/770604,1111010110111
зь,138/770604,111101011100
Та,138/770604,1111010111010
яй,138/770604,1111010111011
мл,136/770604,111101011110
За,136/770604,1111010111110
 В,136/770604,1111010111111
 Р,135/770604,111101100000
ио,135/770604,111101100001
 Я,135/770604,111101100010
о:,134/770604,1111011000110
цу,134/770604,1111011000111
йш,134/770604,111101100100
Пл,134/770604,1111011001010
цо,133/770604,1111011001011
 У,133/770604,111101100110
Па,132/770604,1111011001110
фи,132/770604,1111011001111
сю,131/770604,1111011010000
ын,131/770604,1111011010001
ьт,131/770604,111101101001
Вс,130/770604,111101101010
е!,130/770604,1111011010110
 Э,129/770604,1111011010111
ун,129/770604,111101101100
Чт,129/770604,1111011011010
рю,128/770604,1111011011011
нч,127/770604,111101101110
кв,126/770604,1111011011110
рх,126/770604,1111011011111
хн,125/770604,111101110000
к.,124/770604,1111011100010
 Е,124/770604,1111011100011
ср,123/770604,111101110010
фр,123/770604,1111011100110
вп,122/770604,1111011100111
о!,121/770604,1111011101000
ню,121/770604,1111011101001
ь!,121/770604,111101110101
вт,120/770604,111101110110
Ве,118/770604,1111011101110
зл,118/770604,1111011101111
рм,117/770604,111101111000
 Б,117/770604,1111011110010
хи,116/770604,1111011110011
"с,",116/770604,111101111010
чш,115/770604,1111011110110
ь:,115/770604,1111011110111
 Х,113/770604,111101111100
ь?,112/770604,1111011111010
бс,111/770604,1111011111011
иф,111/770604,1111011111100
Се,111/770604,1111011111101
ху,111/770604,1111011111110
ощ,111/770604,1111011111111
дт,111/770604,111110000000
и?,111/770604,1111100000010
и:,110/770604,1111100000011
зм,110/770604,1111100000100
пк,110/770604,1111100000101
н.,108/770604,1111100000110
 <,108/770604,1111100000111
зж,106/770604,111110000100
ыг,106/770604,1111100001010
ящ,106/770604,1111100001011
о?,106/770604,1111100001100
ци,106/770604,1111100001101
 К,106/770604,1111100001110
ъе,105/770604,1111100001111
"ц,",105/770604,111110001000
"д,",105/770604,1111100010010
юш,105/770604,1111100010011
к-,105/770604,1111100010100
яи,104/770604,1111100010101
и!,104/770604,1111100010110
тд,103/770604,1111100010111
лг,103/770604,1111100011000
жк,102/770604,1111100011001
ея,102/770604,1111100011010
тч,101/770604,1111100011011
вм,100/770604,1111100011100
ыб,99/770604,1111100011101
л:,99/770604,1111100011110
и;,99/770604,1111100011111
яж,99/770604,1111100100000
"
Ч",98/770604,1111100100001
 щ,97/770604,1111100100010
бк,96/770604,1111100100011
йд,95/770604,1111100100100
ъя,94/770604,1111100100101
уй,93/770604,1111100100110
Те,93/770604,1111100100111
 Ф,92/770604,1111100101000
Ан,92/770604,1111100101001
юс,91/770604,1111100101010
а?,90/770604,1111100101011
еи,89/770604,1111100101100
тп,87/770604,1111100101101
к!,87/770604,1111100101110
зр,87/770604,1111100101111
е?,87/770604,1111100110000
дп,86/770604,1111100110001
"ж,",86/770604,1111100110010
а;,86/770604,1111100110011
бщ,86/770604,1111100110100
рг,85/770604,1111100110101
"»,",84/770604,1111100110110
а:,84/770604,11111001101110
Вы,84/770604,11111001101111
":
",84/770604,1111100111000
Ва,82/770604,1111100111001
я!,82/770604,1111100111010
Мо,81/770604,1111100111011
я:,81/770604,1111100111100
зк,79/770604,1111100111101
е;,79/770604,1111100111110
рб,79/770604,11111001111110
ьц,79/770604,11111001111111
ыч,78/770604,1111101000000
юч,78/770604,1111101000001
То,78/770604,1111101000010
у!,78/770604,11111010000110
ыд,77/770604,11111010000111
Хо,76/770604,1111101000100
хр,76/770604,1111101000101
а-,75/770604,1111101000110
Го,74/770604,11111010001110
жо,74/770604,11111010001111
й!,74/770604,1111101001000
рп,73/770604,1111101001001
мс,73/770604,1111101001010
тю,72/770604,11111010010110
дм,72/770604,11111010010111
пн,71/770604,1111101001100
Фе,71/770604,11111010011010
рл,70/770604,11111010011011
Ст,70/770604,1111101001110
йм,70/770604,11111010011110
м-,69/770604,11111010011111
о;,69/770604,1111101010000
гк,69/770604,1111101010001
"г,",69/770604,1111101010010
У ,69/770604,11111010100110
бъ,69/770604,11111010100111
Из,69/770604,1111101010100
> ,69/770604,11111010101010
мк,68/770604,11111010101011
лл,68/770604,1111101010110
Сл,68/770604,11111010101110
оу,68/770604,11111010101111
"
«",68/770604,1111101011000
ю-,67/770604,1111101011001
ау,67/770604,1111101011010
кс,67/770604,11111010110110
-к,66/770604,11111010110111
ш ,66/770604,1111101011100
юр,66/770604,11111010111010
«Н,66/770604,11111010111011
м;,65/770604,11111010111100
фе,65/770604,11111010111101
-с,65/770604,1111101011111
м:,65/770604,11111011000000
хе,65/770604,11111011000001
аи,65/770604,1111101100001
..,64/770604,1111101100010
"…
",64/770604,11111011000110
Ми,64/770604,11111011000111
ьб,63/770604,1111101100100
«П,62/770604,11111011001010
еу,62/770604,11111011001011
чо,62/770604,1111101100110
т:,62/770604,11111011001110
щу,61/770604,11111011001111
Ту,61/770604,1111101101000
Ес,61/770604,11111011010010
Ра,60/770604,11111011010011
м!,60/770604,11111011010100
"
Н",60/770604,11111011010101
ьг,60/770604,1111101101011
оф,59/770604,1111101101100
 Т,59/770604,11111011011010
 „,59/770604,11111011011011
"
В",58/770604,1111101101110
От,58/770604,11111011011110
у:,58/770604,11111011011111
жб,58/770604,1111101110000
Ни,58/770604,11111011100010
т!,58/770604,11111011100011
я?,57/770604,1111101110010
 О,57/770604,11111011100110
яе,56/770604,11111011100111
яр,56/770604,11111011101000
сш,56/770604,11111011101001
 С,56/770604,1111101110101
тт,56/770604,11111011101100
яю,55/770604,11111011101101
яг,55/770604,11111011101110
 Л,54/770604,11111011101111
Од,54/770604,1111101111000
нж,54/770604,11111011110010
"з,",53/770604,11111011110011
"
П",53/770604,11111011110100
Де,53/770604,11111011110101
 (,53/770604,11111011110110
лч,52/770604,11111011110111
сё,52/770604,11111011111000
я;,52/770604,11111011111001
ч!,52/770604,11111011111010
эд,52/770604,11111011111011
 -,51/770604,11111011111100
- ,51/770604,11111011111101
ь;,51/770604,11111011111110
я-,51/770604,11111011111111
"
С",51/770604,1111110000000
ч.,51/770604,11111100000010
Ви,50/770604,11111100000011
аф,50/770604,11111100000100
Ск,50/770604,11111100000101
з-,49/770604,11111100000110
лт,49/770604,11111100000111
 Ч,49/770604,11111100001000
Зд,49/770604,11111100001001
хс,48/770604,11111100001010
Ах,48/770604,11111100001011
эк,47/770604,11111100001100
дъ,47/770604,11111100001101
рч,47/770604,11111100001110
цв,47/770604,11111100001111
ац,47/770604,11111100010000
С ,47/770604,11111100010001
Гр,47/770604,11111100010010
вв,46/770604,11111100010011
ё ,46/770604,11111100010100
фо,46/770604,11111100010101
яя,46/770604,11111100010110
мь,46/770604,11111100010111
Бе,46/770604,11111100011000
д.,45/770604,11111100011001
До,45/770604,11111100011010
Ме,45/770604,11111100011011
ы!,45/770604,11111100011100
Уж,45/770604,11111100011101
Ку,45/770604,11111100011110
 Я,45/770604,111111000111110
-п,44/770604,111111000111111
дш,44/770604,11111100100000
-г,43/770604,11111100100001
оц,43/770604,11111100100010
нр,43/770604,11111100100011
пч,42/770604,11111100100100
Вп,42/770604,11111100100101
к:,42/770604,11111100100110
пь,42/770604,111111001001110
Хл,42/770604,111111001001111
шт,41/770604,11111100101000
Че,41/770604,11111100101001
у;,41/770604,11111100101010
Ал,41/770604,11111100101011
"»
",41/770604,11111100101100
ьд,41/770604,11111100101101
?»,40/770604,111111001011100
«Д,40/770604,111111001011101
пт,40/770604,11111100101111
Мн,40/770604,111111001100000
Ты,40/770604,111111001100001
дх,40/770604,11111100110001
о…,40/770604,11111100110010
 И,40/770604,11111100110011
сб,39/770604,11111100110100
ю:,39/770604,11111100110101
бх,39/770604,11111100110110
й:,39/770604,111111001101110
Са,39/770604,111111001101111
а»,39/770604,11111100111000
 Э,39/770604,11111100111001
«Э,39/770604,11111100111010
] ,38/770604,111111001110110
кж,38/770604,111111001110111
Ру,38/770604,11111100111100
зъ,38/770604,11111100111101
!.,38/770604,11111100111110
Ро,37/770604,111111001111110
Му,37/770604,111111001111111
вч,37/770604,11111101000000
пц,36/770604,11111101000001
тм,36/770604,111111010000100
ь…,36/770604,111111010000101
бь,36/770604,11111101000011
«А,35/770604,111111010001000
нщ,35/770604,111111010001001
и-,35/770604,11111101000101
"ш,",35/770604,111111010001100
 ю,35/770604,111111010001101
Об,35/770604,11111101000111
у?,35/770604,11111101001000
юх,35/770604,11111101001001
жь,35/770604,11111101001010
"
Г",34/770604,111111010010110
«В,34/770604,111111010010111
е»,34/770604,11111101001100
т;,34/770604,111111010011010
тц,34/770604,111111010011011
Бо,34/770604,11111101001110
ьи,34/770604,111111010011110
 З,34/770604,111111010011111
ь-,33/770604,11111101010000
зс,33/770604,111111010100010
р.,33/770604,111111010100011
 М,33/770604,11111101010010
йч,33/770604,11111101010011
бв,33/770604,11111101010100
"
К",32/770604,111111010101010
«К,32/770604,111111010101011
"
О",32/770604,11111101010110
-з,32/770604,111111010101110
уя,32/770604,111111010101111
бд,32/770604,11111101011000
и»,32/770604,111111010110010
«С,32/770604,111111010110011
к?,32/770604,11111101011010
м?,32/770604,111111010110110
ы;,31/770604,111111010110111
вц,31/770604,11111101011100
яп,31/770604,111111010111010
цк,31/770604,111111010111011
-б,31/770604,11111101011110
Аф,31/770604,111111010111110
ьч,30/770604,111111010111111
.],30/770604,111111011000000
Ду,30/770604,111111011000001
).,30/770604,11111101100001
Ге,30/770604,11111101100010
чр,29/770604,111111011000110
х:,29/770604,111111011000111
-ч,29/770604,11111101100100
ц.,29/770604,111111011001010
й;,29/770604,111111011001011
с.,29/770604,111111011001100
зч,29/770604,111111011001101
е…,29/770604,111111011001110
дб,29/770604,111111011001111
Эк,29/770604,11111101101000
л!,29/770604,111111011010010
 Г,29/770604,111111011010011
рф,29/770604,11111101101010
в!,29/770604,111111011010110
т?,28/770604,111111011010111
ю;,28/770604,111111011011000
мп,28/770604,111111011011001
"
Т",28/770604,11111101101101
а…,28/770604,111111011011100
Кт,28/770604,111111011011101
Эх,28/770604,111111011011110
Зн,28/770604,111111011011111
юн,28/770604,11111101110000
н-,28/770604,111111011100010
Гл,27/770604,111111011100011
ь»,27/770604,111111011100100
ы:,27/770604,111111011100101
ыз,27/770604,111111011100110
рз,27/770604,111111011100111
 Б,27/770604,11111101110100
Тр,27/770604,111111011101010
съ,27/770604,111111011101011
к;,26/770604,111111011101100
х-,26/770604,111111011101101
"
З",26/770604,111111011101110
я…,26/770604,111111011101111
ю!,26/770604,11111101111000
Ле,26/770604,111111011110010
"
И",26/770604,111111011110011
-л,25/770604,111111011110100
у…,25/770604,111111011110101
Кр,25/770604,111111011110110
Ба,25/770604,111111011110111
«Ч,25/770604,111111011111000
Дв,25/770604,111111011111001
йл,25/770604,111111011111010
“.,25/770604,111111011111011
Ем,24/770604,111111011111100
 У,24/770604,111111011111101
.),24/770604,111111011111110
л-,24/770604,111111011111111
еа,23/770604,111111100000000
мб,23/770604,111111100000001
-д,23/770604,111111100000010
у-,23/770604,111111100000011
?.,23/770604,111111100000100
дч,23/770604,111111100000101
щь,23/770604,111111100000110
ы?,23/770604,111111100000111
“ ,23/770604,111111100001000
юю,22/770604,111111100001001
лб,22/770604,111111100001010
г.,22/770604,111111100001011
о»,22/770604,111111100001100
я»,22/770604,111111100001101
н!,22/770604,111111100001110
й?,22/770604,1111111000011110
лв,22/770604,1111111000011111
… ,22/770604,111111100010000
Ещ,22/770604,111111100010001
«М,22/770604,111111100010010
шп,22/770604,111111100010011
и…,21/770604,111111100010100
в:,21/770604,111111100010101
жч,21/770604,111111100010110
Др,21/770604,111111100010111
иа,21/770604,111111100011000
оэ,21/770604,111111100011001
т-,21/770604,111111100011010
нг,21/770604,111111100011011
мр,21/770604,111111100011100
лд,21/770604,111111100011101
н:,21/770604,111111100011110
с:,21/770604,1111111000111110
х?,21/770604,1111111000111111
бм,21/770604,111111100100000
">,",21/770604,111111100100001
т»,20/770604,111111100100010
Ит,20/770604,111111100100011
в;,20/770604,1111111001001000
юм,20/770604,1111111001001001
у»,20/770604,111111100100101
яб,20/770604,111111100100110
&#,20/770604,111111100100111
 Ж,20/770604,111111100101000
 Е,20/770604,111111100101001
нз,19/770604,111111100101010
Ин,19/770604,1111111001010110
х!,19/770604,1111111001010111
йц,19/770604,111111100101100
Сп,19/770604,111111100101101
мм,19/770604,111111100101110
>.,19/770604,1111111001011110
ыщ,18/770604,1111111001011111
п ,18/770604,1111111001100000
юж,18/770604,1111111001100001
тз,18/770604,111111100110001
гч,18/770604,1111111001100100
н?,18/770604,1111111001100101
Эй,18/770604,111111100110011
л?,18/770604,111111100110100
дю,18/770604,111111100110101
Ки,18/770604,1111111001101100
Н.,18/770604,1111111001101101
В.,18/770604,111111100110111
ыи,18/770604,111111100111000
д!,18/770604,111111100111001
жс,17/770604,111111100111010
юк,17/770604,1111111001110110
фу,17/770604,1111111001110111
вх,17/770604,111111100111100
сц,17/770604,1111111001111010
шв,17/770604,1111111001111011
Мы,17/770604,111111100111110
 Х,17/770604,1111111001111110
Ре,17/770604,1111111001111111
ю?,17/770604,111111101000000
"
А",17/770604,1111111010000010
 Ш,17/770604,1111111010000011
К ,17/770604,111111101000010
-и,17/770604,1111111010000110
"И,",17/770604,1111111010000111
Гу,16/770604,111111101000100
"Я,",16/770604,1111111010001010
«Г,16/770604,1111111010001011
"
М",16/770604,111111101000110
пп,16/770604,1111111010001110
Бу,16/770604,1111111010001111
м…,16/770604,111111101001000
л;,16/770604,1111111010010010
"я
",15/770604,1111111010010011
н;,15/770604,1111111010010100
рц,15/770604,1111111010010101
Бы,15/770604,111111101001011
пщ,15/770604,1111111010011000
А!,15/770604,1111111010011001
рщ,15/770604,111111101001101
"
У",15/770604,1111111010011100
Ха,15/770604,1111111010011101
й»,15/770604,111111101001111
зт,15/770604,1111111010100000
-в,15/770604,1111111010100001
р!,15/770604,111111101010001
в?,15/770604,1111111010100100
Ос,15/770604,1111111010100101
Ок,15/770604,1111111010100110
лп,15/770604,1111111010100111
хм,15/770604,1111111010101000
мг,15/770604,1111111010101001
Си,15/770604,111111101010101
яц,15/770604,1111111010101100
кц,15/770604,1111111010101101
о>,15/770604,111111101010111
<б,15/770604,111111101011000
ыж,14/770604,1111111010110010
Пи,14/770604,1111111010110011
дд,14/770604,1111111010110100
з.,14/770604,1111111010110101
жм,14/770604,111111101011011
Ли,14/770604,1111111010111000
«п,14/770604,1111111010111001
Дл,14/770604,111111101011101
#7,14/770604,1111111010111100
76,14/770604,1111111010111101
69,14/770604,1111111010111110
9;,14/770604,1111111010111111
бт,14/770604,1111111011000000
д?,14/770604,1111111011000001
