Pair,Frequency,Probability
сё,52,52/770604
я;,52,52/770604
ч!,52,52/770604
эд,52,52/770604
 -,51,51/770604
- ,51,51/770604
ь;,51,51/770604
я-,51,51/770604
"
С",51,51/770604
ч.,51,51/770604
Ви,50,50/770604
аф,50,50/770604
Ск,50,50/770604
з-,49,49/770604
лт,49,49/770604
 Ч,49,49/770604
Зд,49,49/770604
хс,48,48/770604
Ах,48,48/770604
эк,47,47/770604
дъ,47,47/770604
рч,47,47/770604
цв,47,47/770604
ац,47,47/770604
С ,47,47/770604
Гр,47,47/770604
вв,46,46/770604
ё ,46,46/770604
фо,46,46/770604
яя,46,46/770604
мь,46,46/770604
Бе,46,46/770604
д.,45,45/770604
До,45,45/770604
Ме,45,45/770604
ы!,45,45/770604
Уж,45,45/770604
Ку,45,45/770604
 Я,45,45/770604
-п,44,44/770604
дш,44,44/770604
-г,43,43/770604
оц,43,43/770604
нр,43,43/770604
пч,42,42/770604
Вп,42,42/770604
к:,42,42/770604
пь,42,42/770604
Хл,42,42/770604
шт,41,41/770604
Че,41,41/770604
у;,41,41/770604
Ал,41,41/770604
"»
",41,41/770604
ьд,41,41/770604
?»,40,40/770604
«Д,40,40/770604
пт,40,40/770604
Мн,40,40/770604
Ты,40,40/770604
дх,40,40/770604
о…,40,40/770604
 И,40,40/770604
сб,39,39/770604
ю:,39,39/770604
бх,39,39/770604
й:,39,39/770604
Са,39,39/770604
а»,39,39/770604
 Э,39,39/770604
«Э,39,39/770604
] ,38,38/770604
кж,38,38/770604
Ру,38,38/770604
зъ,38,38/770604
!.,38,38/770604
Ро,37,37/770604
Му,37,37/770604
вч,37,37/770604
пц,36,36/770604
тм,36,36/770604
ь…,36,36/770604
бь,36,36/770604
«А,35,35/770604
нщ,35,35/770604
и-,35,35/770604
"ш,",35,35/770604
 ю,35,35/770604
Об,35,35/770604
у?,35,35/770604
юх,35,35/770604
жь,35,35/770604
"
Г",34,34/770604
«В,34,34/770604
е»,34,34/770604
т;,34,34/770604
тц,34,34/770604
Бо,34,34/770604
ьи,34,34/770604
 З,34,34/770604
ь-,33,33/770604
зс,33,33/770604
р.,33,33/770604
 М,33,33/770604
йч,33,33/770604
бв,33,33/770604
"
К",32,32/770604
«К,32,32/770604
"
О",32,32/770604
-з,32,32/770604
уя,32,32/770604
бд,32,32/770604
и»,32,32/770604
«С,32,32/770604
к?,32,32/770604
м?,32,32/770604
ы;,31,31/770604
вц,31,31/770604
яп,31,31/770604
цк,31,31/770604
-б,31,31/770604
Аф,31,31/770604
ьч,30,30/770604
.],30,30/770604
Ду,30,30/770604
).,30,30/770604
Ге,30,30/770604
чр,29,29/770604
х:,29,29/770604
-ч,29,29/770604
ц.,29,29/770604
й;,29,29/770604
с.,29,29/770604
зч,29,29/770604
е…,29,29/770604
дб,29,29/770604
Эк,29,29/770604
л!,29,29/770604
 Г,29,29/770604
рф,29,29/770604
в!,29,29/770604
т?,28,28/770604
ю;,28,28/770604
мп,28,28/770604
"
Т",28,28/770604
а…,28,28/770604
Кт,28,28/770604
Эх,28,28/770604
Зн,28,28/770604
юн,28,28/770604
н-,28,28/770604
Гл,27,27/770604
ь»,27,27/770604
ы:,27,27/770604
ыз,27,27/770604
рз,27,27/770604
 Б,27,27/770604
Тр,27,27/770604
съ,27,27/770604
к;,26,26/770604
х-,26,26/770604
"
З",26,26/770604
я…,26,26/770604
ю!,26,26/770604
Ле,26,26/770604
"
И",26,26/770604
-л,25,25/770604
у…,25,25/770604
Кр,25,25/770604
Ба,25,25/770604
«Ч,25,25/770604
Дв,25,25/770604
йл,25,25/770604
“.,25,25/770604
Ем,24,24/770604
 У,24,24/770604
.),24,24/770604
л-,24,24/770604
еа,23,23/770604
мб,23,23/770604
-д,23,23/770604
у-,23,23/770604
?.,23,23/770604
дч,23,23/770604
щь,23,23/770604
ы?,23,23/770604
“ ,23,23/770604
юю,22,22/770604
лб,22,22/770604
г.,22,22/770604
о»,22,22/770604
я»,22,22/770604
н!,22,22/770604
й?,22,22/770604
лв,22,22/770604
… ,22,22/770604
Ещ,22,22/770604
«М,22,22/770604
шп,22,22/770604
и…,21,21/770604
в:,21,21/770604
жч,21,21/770604
Др,21,21/770604
иа,21,21/770604
оэ,21,21/770604
т-,21,21/770604
нг,21,21/770604
мр,21,21/770604
лд,21,21/770604
н:,21,21/770604
с:,21,21/770604
х?,21,21/770604
бм,21,21/770604
">,",21,21/770604
т»,20,20/770604
Ит,20,20/770604
в;,20,20/770604
юм,20,20/770604
у»,20,20/770604
яб,20,20/770604
&#,20,20/770604
 Ж,20,20/770604
 Е,20,20/770604
нз,19,19/770604
Ин,19,19/770604
х!,19,19/770604
йц,19,19/770604
Сп,19,19/770604
мм,19,19/770604
>.,19,19/770604
ыщ,18,18/770604
п ,18,18/770604
юж,18,18/770604
тз,18,18/770604
гч,18,18/770604
н?,18,18/770604
Эй,18,18/770604
л?,18,18/770604
дю,18,18/770604
Ки,18,18/770604
Н.,18,18/770604
В.,18,18/770604
ыи,18,18/770604
д!,18,18/770604
жс,17,17/770604
юк,17,17/770604
фу,17,17/770604
вх,17,17/770604
сц,17,17/770604
шв,17,17/770604
Мы,17,17/770604
 Х,17,17/770604
Ре,17,17/770604
ю?,17,17/770604
"
А",17,17/770604
 Ш,17,17/770604
К ,17,17/770604
-и,17,17/770604
"И,",17,17/770604
Гу,16,16/770604
"Я,",16,16/770604
«Г,16,16/770604
"
М",16,16/770604
пп,16,16/770604
Бу,16,16/770604
м…,16,16/770604
л;,16,16/770604
"я
",15,15/770604
н;,15,15/770604
рц,15,15/770604
Бы,15,15/770604
пщ,15,15/770604
А!,15,15/770604
рщ,15,15/770604
"
У",15,15/770604
Ха,15,15/770604
й»,15,15/770604
зт,15,15/770604
-в,15,15/770604
р!,15,15/770604
в?,15,15/770604
Ос,15,15/770604
Ок,15,15/770604
лп,15,15/770604
хм,15,15/770604
мг,15,15/770604
Си,15,15/770604
яц,15,15/770604
кц,15,15/770604
о>,15,15/770604
<б,15,15/770604
ыж,14,14/770604
Пи,14,14/770604
дд,14,14/770604
з.,14,14/770604
жм,14,14/770604
Ли,14,14/770604
«п,14,14/770604
Дл,14,14/770604
#7,14,14/770604
76,14,14/770604
69,14,14/770604
9;,14,14/770604
бт,14,14/770604
д?,14,14/770604
"]
",14,14/770604
Су,14,14/770604
…»,14,14/770604
мч,14,14/770604
Вз,14,14/770604
Фо,14,14/770604
Пу,14,14/770604
й…,14,14/770604
«З,14,14/770604
 N,13,13/770604
лё,13,13/770604
нб,13,13/770604
х;,13,13/770604
«Т,13,13/770604
Оч,13,13/770604
Бр,13,13/770604
сг,13,13/770604
 Р,13,13/770604
Ей,13,13/770604
ы…,13,13/770604
т…,13,13/770604
мц,13,13/770604
Гд,13,13/770604
Им,13,13/770604
„Н,13,13/770604
л…,13,13/770604
18,13,13/770604
Ул,13,13/770604
уа,12,12/770604
Ча,12,12/770604
бш,12,12/770604
-ф,12,12/770604
с!,12,12/770604
Же,12,12/770604
"А,",12,12/770604
",[",12,12/770604
(И,12,12/770604
Чу,12,12/770604
 (,12,12/770604
(о,12,12/770604
ы>,12,12/770604
 ],12,12/770604
" 
",12,12/770604
к»,11,11/770604
«И,11,11/770604
»;,11,11/770604
[1,11,11/770604
«в,11,11/770604
жл,11,11/770604
Ил,11,11/770604
ы»,11,11/770604
эм,11,11/770604
«Х,11,11/770604
нф,11,11/770604
в…,11,11/770604
[2,11,11/770604
[3,11,11/770604
щн,11,11/770604
Бл,11,11/770604
ц!,11,11/770604
[4,11,11/770604
гв,11,11/770604
.[,11,11/770604
См,11,11/770604
пш,11,11/770604
?“,11,11/770604
N.,11,11/770604
сз,11,11/770604
эп,11,11/770604
…[,11,11/770604
и>,11,11/770604
<н,11,11/770604
"
1",11,11/770604
"
2",11,11/770604
"
3",11,11/770604
"
4",11,11/770604
лф,10,10/770604
бж,10,10/770604
м»,10,10/770604
фт,10,10/770604
"б,",10,10/770604
о&,10,10/770604
ж?,10,10/770604
"
Э",10,10/770604
Св,10,10/770604
Жи,10,10/770604
 Ц,10,10/770604
"“,",10,10/770604
ш»,10,10/770604
")
",10,10/770604
с-,9,9/770604
«О,9,9/770604
"О,",9,9/770604
ёв,9,9/770604
О ,9,9/770604
«Я,9,9/770604
«Б,9,9/770604
фл,9,9/770604
нв,9,9/770604
рр,9,9/770604
хт,9,9/770604
пс,9,9/770604
тх,9,9/770604
тб,9,9/770604
тш,9,9/770604
в-,9,9/770604
)],9,9/770604
Ло,9,9/770604
Вр,9,9/770604
"
Б",9,9/770604
уф,9,9/770604
-о,9,9/770604
тъ,9,9/770604
зз,9,9/770604
Вд,9,9/770604
фь,9,9/770604
а“,9,9/770604
ч?,9,9/770604
",
",9,9/770604
чл,9,9/770604
яш,9,9/770604
  ,9,9/770604
<т,9,9/770604
<в,9,9/770604
ь>,9,9/770604
въ,8,8/770604
д;,8,8/770604
к…,8,8/770604
Ед,8,8/770604
р?,8,8/770604
Фр,8,8/770604
х…,8,8/770604
с?,8,8/770604
"
Х",8,8/770604
хш,8,8/770604
-р,8,8/770604
бц,8,8/770604
Лу,8,8/770604
р-,8,8/770604
23,8,8/770604
) ,8,8/770604
ll,8,8/770604
Кн,8,8/770604
<к,8,8/770604
Яр,8,8/770604
в>,8,8/770604
т>,8,8/770604
юф,7,7/770604
зш,7,7/770604
юл,7,7/770604
Ув,7,7/770604
Гм,7,7/770604
кк,7,7/770604
-а,7,7/770604
щр,7,7/770604
р:,7,7/770604
мщ,7,7/770604
Уч,7,7/770604
г!,7,7/770604
жж,7,7/770604
"
Д",7,7/770604
«д,7,7/770604
юг,7,7/770604
Ус,7,7/770604
"п,",7,7/770604
Ша,7,7/770604
ыу,7,7/770604
.»,7,7/770604
ш.,7,7/770604
бч,7,7/770604
 Ж,7,7/770604
"),",7,7/770604
лщ,7,7/770604
mm,7,7/770604
 h,7,7/770604
84,7,7/770604
"1
",7,7/770604
н>,7,7/770604
-м,6,6/770604
Зя,6,6/770604
1 ,6,6/770604
фы,6,6/770604
гс,6,6/770604
«я,6,6/770604
Ав,6,6/770604
дз,6,6/770604
Сд,6,6/770604
зц,6,6/770604
Ум,6,6/770604
фс,6,6/770604
б.,6,6/770604
Фи,6,6/770604
ф ,6,6/770604
ьо,6,6/770604
ц?,6,6/770604
Дя,6,6/770604
бю,6,6/770604
Ег,6,6/770604
!“,6,6/770604
тг,6,6/770604
«м,6,6/770604
ы-,6,6/770604
Ис,6,6/770604
аё,6,6/770604
ёт,6,6/770604
Хе,6,6/770604
ю…,6,6/770604
тф,6,6/770604
йб,6,6/770604
co,6,6/770604
#2,6,6/770604
33,6,6/770604
e ,6,6/770604
or,6,6/770604
(1,6,6/770604
<о,6,6/770604
у>,6,6/770604
* ,6,6/770604
 *,6,6/770604
к>,6,6/770604
"5
",6,6/770604
"2
",6,6/770604
эл,5,5/770604
«ч,5,5/770604
«т,5,5/770604
ю»,5,5/770604
ц;,5,5/770604
бг,5,5/770604
Хр,5,5/770604
ж.,5,5/770604
щ ,5,5/770604
«Р,5,5/770604
 Ф,5,5/770604
2 ,5,5/770604
3 ,5,5/770604
н…,5,5/770604
ьв,5,5/770604
Сн,5,5/770604
н»,5,5/770604
-х,5,5/770604
ш?,5,5/770604
Ох,5,5/770604
4 ,5,5/770604
5 ,5,5/770604
6 ,5,5/770604
7 ,5,5/770604
«н,5,5/770604
8 ,5,5/770604
9 ,5,5/770604
0 ,5,5/770604
"
Л",5,5/770604
л»,5,5/770604
п.,5,5/770604
лм,5,5/770604
р;,5,5/770604
«Е,5,5/770604
Зе,5,5/770604
Ид,5,5/770604
кд,5,5/770604
Це,5,5/770604
вщ,5,5/770604
Сч,5,5/770604
„А,5,5/770604
Ел,5,5/770604
„Ч,5,5/770604
Уз,5,5/770604
Лю,5,5/770604
om,5,5/770604
 c,5,5/770604
иу,5,5/770604
41,5,5/770604
42,5,5/770604
Ше,5,5/770604
"
Р",5,5/770604
чм,5,5/770604
е>,5,5/770604
м>,5,5/770604
я>,5,5/770604
ыо,5,5/770604
<у,5,5/770604
<п,5,5/770604
й>,5,5/770604
ht,5,5/770604
"3
",5,5/770604
"4
",5,5/770604
"6
",5,5/770604
"7
",5,5/770604
"8
",5,5/770604
"9
",5,5/770604
"0
",5,5/770604
мф,4,4/770604
Ев,4,4/770604
в»,4,4/770604
уи,4,4/770604
эс,4,4/770604
гб,4,4/770604
сж,4,4/770604
Сы,4,4/770604
и),4,4/770604
дж,4,4/770604
 Л,4,4/770604
кш,4,4/770604
г:,4,4/770604
ц:,4,4/770604
эх,4,4/770604
чё,4,4/770604
-К,4,4/770604
ч»,4,4/770604
чв,4,4/770604
«х,4,4/770604
