Pair,Probability,Code
бу,1092/770604,000000000
лл,68/770604,0000000010000
мк,68/770604,0000000010001
мл,136/770604,000000001001
оу,68/770604,0000000010100
т;,34/770604,00000000101010
тц,34/770604,00000000101011
шв,17/770604,000000001011000
ю?,17/770604,000000001011001
ьи,34/770604,00000000101101
> ,69/770604,0000000010111
Из,69/770604,0000000011000
У ,69/770604,0000000011001
Та,138/770604,000000001101
Эт,138/770604,000000001110
бъ,69/770604,0000000011110
"г,",69/770604,0000000011111
"м,",1103/770604,000000010
гк,69/770604,0000000110000
м-,69/770604,0000000110001
зь,138/770604,000000011001
тл,138/770604,000000011010
ып,138/770604,000000011011
-т,556/770604,0000000111
ел,4410/770604,0000001
ло,4446/770604,0000010
ли,4462/770604,0000011
яй,138/770604,000010000000
 Г,139/770604,000010000001
о;,69/770604,0000100000100
юк,17/770604,000010000010100
"
Б",9/770604,0000100000101010
)],9/770604,0000100000101011
 ю,35/770604,00001000001011
«А,35/770604,00001000001100
Об,35/770604,00001000001101
Ст,70/770604,0000100000111
аю,558/770604,0000100001
бл,558/770604,0000100010
 Д,279/770604,00001000110
жь,35/770604,00001000111000
и-,35/770604,00001000111001
йм,70/770604,0000100011101
нщ,35/770604,00001000111100
у?,35/770604,00001000111101
рл,70/770604,0000100011111
 е,2240/770604,00001001
от,4476/770604,0000101
 э,1119/770604,000011000
сн,561/770604,0000110010
мы,562/770604,0000110011
— ,2242/770604,00001101
ав,2250/770604,00001110
га,564/770604,0000111100
чн,564/770604,0000111101
оз,1132/770604,000011111
до,2263/770604,00010000
ас,2264/770604,00010001
ти,2264/770604,00010010
оо,140/770604,000100110000
"ш,",35/770604,00010011000100
юх,35/770604,00010011000101
Фе,71/770604,0001001100011
"ч,",142/770604,000100110010
ьз,142/770604,000100110011
гу,567/770604,0001001101
д ,569/770604,0001001110
рт,569/770604,0001001111
во,4550/770604,0001010
ой,2273/770604,00010110
яс,284/770604,00010111000
шл,285/770604,00010111001
ьш,285/770604,00010111010
Ма,143/770604,000101110110
пн,71/770604,0001011101110
",
",9/770604,0001011101111000
-о,9/770604,0001011101111001
<в,9/770604,0001011101111010
<т,9/770604,0001011101111011
  ,9/770604,0001011101111100
«Б,9/770604,0001011101111101
«О,9/770604,0001011101111110
«Я,9/770604,0001011101111111
шк,572/770604,0001011110
нс,286/770604,00010111110
ии,287/770604,00010111111
ть,4578/770604,0001100
: ,1149/770604,000110100
 —,575/770604,0001101010
су,575/770604,0001101011
ин,2304/770604,00011011
В.,18/770604,000111000000000
Вд,9/770604,0001110000000010
Вр,9/770604,0001110000000011
Ки,18/770604,000111000000010
Ло,9/770604,0001110000000110
О ,9/770604,0001110000000111
Н.,18/770604,000111000000100
"О,",9/770604,0001110000001010
а“,9/770604,0001110000001011
Эй,18/770604,000111000000110
в-,9/770604,0001110000001110
зз,9/770604,0001110000001111
бь,36/770604,00011100000100
гч,18/770604,000111000001010
д!,18/770604,000111000001011
дм,72/770604,0001110000011
дю,18/770604,000111000010000
л?,18/770604,000111000010001
н?,18/770604,000111000010010
нв,9/770604,0001110000100110
пс,9/770604,0001110000100111
п ,18/770604,000111000010100
рр,9/770604,0001110000101010
с-,9/770604,0001110000101011
пц,36/770604,00011100001011
лн,144/770604,000111000011
рш,288/770604,00011100010
тб,9/770604,0001110001100000
тх,9/770604,0001110001100001
тз,18/770604,000111000110001
тм,36/770604,00011100011001
тш,9/770604,0001110001101000
тъ,9/770604,0001110001101001
уф,9/770604,0001110001101010
фл,9/770604,0001110001101011
фь,9/770604,0001110001101100
хт,9/770604,0001110001101101
ч?,9/770604,0001110001101110
чл,9/770604,0001110001101111
тю,72/770604,0001110001110
ыи,18/770604,000111000111100
ыщ,18/770604,000111000111101
ь>,9/770604,0001110001111100
яш,9/770604,0001110001111101
юж,18/770604,000111000111111
 х,1159/770604,000111001
иб,579/770604,0001110100
еш,580/770604,0001110101
в.,290/770604,00011101100
вз,292/770604,00011101101
ещ,583/770604,0001110111
ра,4645/770604,0001111
ны,2329/770604,00100000
ы ,2330/770604,00100001
ен,4680/770604,0010001
вь,146/770604,001001000000
мс,73/770604,0010010000010
рп,73/770604,0010010000011
пы,146/770604,001001000010
? ,147/770604,001001000011
ею,147/770604,001001000100
жу,147/770604,001001000101
зе,294/770604,00100100011
ут,1183/770604,001001001
ь…,36/770604,00100101000000
Му,37/770604,00100101000001
Го,74/770604,0010010100001
Ро,37/770604,00100101000100
вч,37/770604,00100101000101
жо,74/770604,0010010100011
 ф,296/770604,00100101001
цы,148/770604,001001010100
ч ,148/770604,001001010101
р ,297/770604,00100101011
ье,593/770604,0010010110
а.,595/770604,0010010111
ят,1188/770604,001001100
"ы,",596/770604,0010011010
яч,148/770604,001001101100
Со,149/770604,001001101101
й!,74/770604,0010011011100
а-,75/770604,0010011011101
ищ,150/770604,001001101111
са,1203/770604,001001110
ач,601/770604,0010011110
Не,302/770604,00100111110
лк,302/770604,00100111111
то,9533/770604,001010
я ,4839/770604,0010110
пр,4847/770604,0010111
зн,1207/770604,001100000
аш,604/770604,0011000010
зб,151/770604,001100001100
!.,38/770604,00110000110100
>.,19/770604,001100001101010
Ин,19/770604,001100001101011
] ,38/770604,00110000110110
Ру,38/770604,00110000110111
чк,303/770604,00110000111
дв,607/770604,0011000100
Сп,19/770604,001100010100000
йц,19/770604,001100010100001
зъ,38/770604,00110001010001
Хо,76/770604,0011000101001
кж,38/770604,00110001010100
мм,19/770604,001100010101010
нз,19/770604,001100010101011
хр,76/770604,0011000101011
х.,152/770604,001100010110
хв,152/770604,001100010111
ая,1219/770604,001100011
ик,2435/770604,00110010
че,2439/770604,00110011
ки,2445/770604,00110100
ап,609/770604,0011010100
як,305/770604,00110101010
х!,19/770604,001101010110000
ёв,9/770604,0011010101100010
"
Л",5/770604,00110101011000110
"
Р",5/770604,00110101011000111
 Э,39/770604,00110101011001
ыд,77/770604,0011010101101
 З,154/770604,001101010111
ыв,616/770604,0011010110
е:,154/770604,001101011100
"р,",154/770604,001101011101
м.,309/770604,00110101111
ал,4964/770604,0011011
ук,618/770604,0011100000
иц,620/770604,0011100001
нь,1241/770604,001110001
"

",2488/770604,00111001
о-,311/770604,00111010000
«Э,39/770604,00111010001000
Са,39/770604,00111010001001
То,78/770604,0011101000101
а»,39/770604,00111010001100
бх,39/770604,00111010001101
й:,39/770604,00111010001110
сб,39/770604,00111010001111
кт,312/770604,00111010010
у!,78/770604,0011101001100
ыч,78/770604,0011101001101
л.,157/770604,001110100111
ыш,313/770604,00111010100
ю.,157/770604,001110101010
юч,78/770604,0011101010110
е;,79/770604,0011101010111
б ,158/770604,001110101100
зк,79/770604,0011101011010
рб,79/770604,0011101011011
й-,158/770604,001110101110
ьц,79/770604,0011101011110
ю:,39/770604,00111010111110
"
Э",10/770604,0011101011111100
 c,5/770604,00111010111111010
-х,5/770604,00111010111111011
 Ж,20/770604,001110101111111
ам,2527/770604,00111011
дн,1265/770604,001111000
жа,632/770604,0011110010
ям,317/770604,00111100110
 А,159/770604,001111001110
 Ц,10/770604,0011110011110000
")
",10/770604,0011110011110001
&#,20/770604,001111001111001
"0
",5/770604,00111100111101000
0 ,5/770604,00111100111101001
2 ,5/770604,00111100111101010
"3
",5/770604,00111100111101011
3 ,5/770604,00111100111101100
"4
",5/770604,00111100111101101
4 ,5/770604,00111100111101110
41,5/770604,00111100111101111
42,5/770604,00111100111110000
5 ,5/770604,00111100111110001
"6
",5/770604,00111100111110010
6 ,5/770604,00111100111110011
"7
",5/770604,00111100111110100
7 ,5/770604,00111100111110101
"8
",5/770604,00111100111110110
8 ,5/770604,00111100111110111
"9
",5/770604,00111100111111000
9 ,5/770604,00111100111111001
<п,5/770604,00111100111111010
<у,5/770604,00111100111111011
ht,5/770604,00111100111111100
om,5/770604,00111100111111101
 Ф,5/770604,00111100111111110
«Е,5/770604,00111100111111111
ле,2541/770604,00111101
ак,5076/770604,0011111
 с,10193/770604,010000
 в,10213/770604,010001
ро,5117/770604,0100100
?»,40/770604,01001010000000
 Е,20/770604,010010100000010
«Р,5/770604,01001010000001100
«н,5/770604,01001010000001101
«т,5/770604,01001010000001110
«ч,5/770604,01001010000001111
 И,40/770604,01001010000010
«Д,40/770604,01001010000011
 П,160/770604,010010100001
Ел,5/770604,01001010001000000
Зе,5/770604,01001010001000001
Жи,10/770604,0100101000100001
Ид,5/770604,01001010001000100
Лю,5/770604,01001010001000101
Ох,5/770604,01001010001000110
Сн,5/770604,01001010001000111
Ит,20/770604,010010100010010
Св,10/770604,0100101000100110
Сч,5/770604,01001010001001110
Уз,5/770604,01001010001001111
Мн,40/770604,01001010001010
Ты,40/770604,01001010001011
Хр,5/770604,01001010001100000
Це,5/770604,01001010001100001
Ше,5/770604,01001010001100010
бг,5/770604,01001010001100011
"б,",10/770604,0100101000110010
бж,10/770604,0100101000110011
в;,20/770604,010010100011010
вщ,5/770604,01001010001101100
е>,5/770604,01001010001101101
ж.,5/770604,01001010001101110
иу,5/770604,01001010001101111
дх,40/770604,01001010001110
ж?,10/770604,0100101000111100
й>,5/770604,01001010001111010
кд,5/770604,01001010001111011
л»,5/770604,01001010001111100
лм,5/770604,01001010001111101
лф,10/770604,0100101000111111
ша,640/770604,0100101001
Я ,160/770604,010010101000
м>,5/770604,01001010100100000
н»,5/770604,01001010100100001
м»,10/770604,0100101010010001
н…,5/770604,01001010100100100
п.,5/770604,01001010100100101
о&,10/770604,0100101010010011
о…,40/770604,01001010100101
пт,40/770604,01001010100110
р;,5/770604,01001010100111000
ц;,5/770604,01001010100111001
фт,10/770604,0100101010011101
т»,20/770604,010010101001111
мя,321/770604,01001010101
лю,642/770604,0100101011
их,1293/770604,010010110
чь,160/770604,010010111000
у»,20/770604,010010111001000
чм,5/770604,01001011100100100
ш?,5/770604,01001011100100101
ш»,10/770604,0100101110010011
щ ,5/770604,01001011100101000
ыо,5/770604,01001011100101001
ьв,5/770604,01001011100101010
эл,5/770604,01001011100101011
ю»,5/770604,01001011100101100
я>,5/770604,01001011100101101
"“,",10/770604,0100101110010111
Мо,81/770604,0100101110011
 А,323/770604,01001011101
юм,20/770604,010010111100000
яб,20/770604,010010111100001
"»
",41/770604,01001011110001
я:,81/770604,0100101111001
ях,162/770604,010010111101
Ал,41/770604,01001011111000
Че,41/770604,01001011111001
Ва,82/770604,0100101111101
у;,41/770604,01001011111100
шт,41/770604,01001011111101
я!,82/770604,0100101111111
 н,10401/770604,010011
ан,2595/770604,01010000
 р,2601/770604,01010001
 б,5219/770604,0101001
и ,10453/770604,010101
ни,5246/770604,0101100
чт,2611/770604,01011010
уш,662/770604,0101101100
нд,165/770604,010110110100
рж,165/770604,010110110101
ущ,165/770604,010110110110
а!,167/770604,010110110111
зд,665/770604,0101101110
-н,333/770604,01011011110
ды,335/770604,01011011111
е ,10582/770604,010111
аз,2659/770604,01100000
ме,2676/770604,01100001
ь ,5353/770604,0110001
ах,668/770604,0110010000
ьд,41/770604,01100100010000
">,",21/770604,011001000100010
Др,21/770604,011001000100011
":
",84/770604,0110010001001
"»,",84/770604,0110010001010
